E	db0_pair_dE	db0_pion_dE	db0_rsh_dE	db0_dE
2.02444650997681e18	1.4839280600349556e-10	0.0	7.358487281534e-11	1.4839280600349556e-10
2.0479120966650834e18	1.5028035759895098e-10	0.0	7.358487281534e-11	1.5028035759895098e-10
2.0716496756020754e18	1.5216696421589596e-10	0.0	7.358487281534e-11	1.5216696421589596e-10
2.0956623994804308e18	1.540522195536592e-10	0.0	7.358487281534e-11	1.540522195536592e-10
2.1199534575360776e18	1.55935715641243e-10	0.0	7.358487281534e-11	1.55935715641243e-10
2.1445260759716654e18	1.5781705298179838e-10	0.0	7.358487281534e-11	1.5781705298179838e-10
2.169383518385191e18	1.5969582625006356e-10	0.0	7.358487281534e-11	1.5969582625006356e-10
2.1945290862033114e18	1.615716338899944e-10	0.0	7.358487281534e-11	1.615716338899944e-10
2.2199661191199616e18	1.6344407600191467e-10	0.0	7.358487281534e-11	1.6344407600191467e-10
2.2456979955397716e18	1.6531275637885524e-10	0.0	7.358487281534e-11	1.6531275637885524e-10
2.271728133026912e18	1.6717727517414806e-10	0.0	7.358487281534e-11	1.6717727517414806e-10
2.2980599887588488e18	1.6903724019303777e-10	0.0	7.358487281534e-11	1.6903724019303777e-10
2.324697059985655e18	1.7089225979802486e-10	0.0	7.358487281534e-11	1.7089225979802486e-10
2.351642884494346e18	1.7274194488327912e-10	0.0	7.358487281534e-11	1.7274194488327912e-10
2.3789010410789007e18	1.7458590902497284e-10	0.0	7.358487281534e-11	1.7458590902497284e-10
2.406475150015422e18	1.7642376878149393e-10	0.0	7.358487281534e-11	1.7642376878149393e-10
2.434368873543118e18	1.7825514377612166e-10	0.0	7.358487281534e-11	1.7825514377612166e-10
2.4625859163505444e18	1.8007965691171405e-10	0.0	7.358487281534e-11	1.8007965691171405e-10
2.491130026067796e18	1.8189693455707048e-10	0.0	7.358487281534e-11	1.8189693455707048e-10
2.5200049937640893e18	1.8370660685458094e-10	0.0	7.358487281534e-11	1.8370660685458094e-10
2.549214654451431e18	1.855083056195604e-10	0.0	7.358487281534e-11	1.855083056195604e-10
2.578762887593798e18	1.873016755560479e-10	0.0	7.358487281534e-11	1.873016755560479e-10
2.608653617622556e18	1.8908635245753449e-10	0.0	7.358487281534e-11	1.8908635245753449e-10
2.638890814457508e18	1.908619854341378e-10	0.0	7.358487281534e-11	1.908619854341378e-10
2.669478494034329e18	1.9262822623477204e-10	0.0	7.358487281534e-11	1.9262822623477204e-10
2.7004207188377697e18	1.943847313172094e-10	0.0	7.358487281534e-11	1.943847313172094e-10
2.7317215984413844e18	1.9613116254806574e-10	0.0	7.358487281534e-11	1.9613116254806574e-10
2.763385290053167e18	1.978671833854265e-10	0.0	7.358487281534e-11	1.978671833854265e-10
2.795415999067865e18	1.995924731968741e-10	0.0	7.358487281534e-11	1.995924731968741e-10
