E	Eg
2.3898925662310527e19	1.3495232034171247e153
2.412028207618002e19	2.31757081601863e153
2.434368873543118e19	3.9792325728748405e153
2.45691646298279e19	6.826637532326e153
2.47967289250215e19	1.1710524499024634e154
2.502640096417922e19	2.0071106235479817e154
2.5258200269627793e19	3.439032793967072e154
2.549214654451431e19	5.889484313193457e154
2.572825967447932e19	1.0080283979070024e155
2.5966559729348616e19	1.7247349509384982e155
2.620706696483855e19	2.9490154430639816e155
2.6449801824277144e19	5.040945399698281e155
2.669478494034329e19	8.610170135047461e155
2.6942037136818823e19	1.4701031943907462e156
2.7191579430360076e19	2.508799413174738e156
2.744343303228368e19	4.278573707235271e156
2.7697619350368854e19	7.294749098791582e156
2.795415999067865e19	1.2425688612847177e157
2.821307675939471e19	2.115939554690355e157
2.8474391664672362e19	3.600224347742178e157
2.8738126918510694e19	6.122374778039543e157
2.9004304938639856e19	1.040558734197917e158
2.927294835042825e19	1.7670402111908055e158
2.9544079988803797e19	2.9995077472440996e158
2.981772290019661e19	5.086005383018274e158
3.0093900344497242e19	8.619401132321976e158
3.0372635797033054e19	1.459335516858248e159
3.065395295056536e19	2.4688498586120364e159
3.0937875717301367e19	4.1731207396125424e159
3.122442823092845e19	7.046004409477511e159
3.1513634848664826e19	1.1887042130611506e160
3.180552015332913e19	2.0027253273449365e160
3.2100108955431813e19	3.370951301899931e160
3.2397426295281955e19	5.666708468536369e160
3.2697497445117546e19	9.51331323522865e160
3.3000347911252886e19	1.5952128611260438e161
3.330600343624582e19	2.670153374936301e161
3.3614490001087754e19	4.4635783725576793e161
3.392583382740992e19	7.447760803364065e161
3.4240061379714118e19	1.2406664300747845e162
3.455719936762143e19	2.0629340740511227e162
3.4877274748141703e19	3.4226021913712835e162
3.5200314727966896e19	5.667586382491094e162
3.5526346765781393e19	9.361737377328118e162
3.5855398574598025e19	1.542981548244706e163
3.6187498124112843e19	2.5364044373416895e163
3.652267364308168e19	4.1579584854060977e163
3.686095362172169e19	6.797668604153052e163
3.720236681413066e19	1.1077121513864333e164
3.754694224073322e19	1.799686067784869e164
3.789470919074672e19	2.9139295558653537e164
3.824569722466991e19	4.70061426566079e164
